"RX_Ypos [cm]","Freq [GHz]","ang_rad(S(RX_ant1_1,TX_antenna)) [rad]"
315,9.64,2.47873021108053
315,9.6475,1.5575981725582
315,9.655,0.685093499221627
315,9.6625,-0.179519998135234
315,9.67,-0.996965624093226
315,9.6775,-1.84259378437832
315,9.685,-2.67997423564746
315,9.6925,2.65545067068221
315,9.7,1.65152088190558
315,9.7075,0.722697142416505
315,9.715,-0.24218438200103
315,9.7225,-1.26490105748271
315,9.73,-2.17577943497114
315,9.7375,-3.05951414559673
315,9.745,2.21374609448052
315,9.7525,1.42441322861303
315,9.76,0.576656333855945
315,9.7675,-0.422684385142552
315,9.775,-1.26051594122118
315,9.7825,-2.2080678224555
315,9.79,3.09001032768036
315,9.7975,2.14373133818243
315,9.805,1.21536438327114
315,9.8125,0.235548306423711
315,9.82,-0.667186435685583
315,9.8275,-1.41952223690969
315,9.835,-2.38108362594842
315,9.8425,3.05237926407287
315,9.85,2.1606638428297
315,9.8575,1.15699511055206
315,9.865,0.240470160941163
315,9.8725,-0.710830142335987
315,9.88,-1.7425808466464
315,9.8875,-2.74107558292656
315,9.895,2.63798726310176
315,9.9025,1.65347328081702
315,9.91,0.9003143362492
315,9.9175,0.218353285802423
315,9.925,-0.580598251286548
315,9.9325,-1.29281770921192
315,9.94,-2.20041380412663
315,9.9475,-3.00330653720056
315,9.955,2.40711126886766
315,9.9625,1.48116460590395
315,9.97,0.626340604766015
315,9.9775,-0.322117113807427
315,9.985,-1.24122313966764
315,9.9925,-2.11606606602483
315,10,-3.08698726889157
315,10.0075,2.2652155604081
315,10.015,1.32685158350603
315,10.0225,0.311409117132369
315,10.03,-0.694966560015998
315,10.0375,-1.6969911247465
315,10.045,-2.69464700572533
315,10.0525,2.58122859772409
315,10.06,1.58043200700905
315,10.0675,0.598642138023468
315,10.075,-0.42740503903125
315,10.0825,-1.39205828614638
315,10.09,-2.34599715526418
315,10.0975,2.95824737575611
315,10.105,2.02173485091794
315,10.1125,1.02437298484516
315,10.12,0.0858923260609865
315,10.1275,-0.893049260138896
315,10.135,-1.89819450219621
315,10.1425,-2.81881060058365
315,10.15,2.52330581434336
315,10.1575,1.63610244936579
315,10.165,0.829365302592092
315,10.1725,1.41930957879206
315,10.18,0.620318784824688
315,10.1875,0.0800621205580367
315,10.195,-0.907621468991081
315,10.2025,-1.86968953399573
315,10.21,-2.76114511517045
315,10.2175,2.54017581271712
315,10.225,1.53426866631022
315,10.2325,0.487331627810129
315,10.24,-0.4956937365913
315,10.2475,-1.51398403140621
315,10.255,-2.57794252427713
315,10.2625,2.71707756151109
315,10.27,1.70611113746798
315,10.2775,0.714324859546288
